,Pack Price
3920,2.49
2402,2.1
330,1.51
5228,66.6
5536,100.0
4939,80.0
2015,11.4
6309,6.49
8737,2.26
565,71.99
8132,5.5
4237,23.26
9799,1.99
2217,11.8
2874,27.6
5516,20.5
7374,3.75
4693,60.82
1408,2.24
2336,41.1
8979,3.28
358,72.0
6666,2.33
849,7.5
6991,8.11
6773,16.27
2684,2.3
7267,2.44
9096,29.68
6668,2.02
2870,9.98
8368,3.6
6017,24.5
9073,5.54
5241,4.62
3806,20.0
3611,17.5
1282,12.42
4110,72.0
936,32.0
804,139.0
6835,7.27
2824,32.0
1684,1.92
6667,11.22
1993,1.4
3958,7.0
4882,5.94
1396,9.0
1719,16.96
2038,3.0
8486,11.22
9345,7.53
9676,2.1
2923,80.0
4302,80.0
5688,20.0
9218,10.87
8237,4.7
9551,16.73
803,139.0
1494,41.1
7950,7.71
8811,2.26
9171,12.96
4589,18.0
473,23.0
4608,20.0
5941,2.25
5099,20.0
5579,3.95
7519,11.22
1526,13.5
6870,2.26
4206,89.0
7024,3.95
3562,80.0
92,23.67
3509,4.49
184,11.48
7491,11.35
4067,4.67
1087,12.42
7287,5.36
8080,2.51
7305,24.76
10266,3.21
5363,6.65
8663,7.72
6647,7.3
4222,80.0
6283,29.0
3585,20.0
6169,40.25
2856,11.15
5785,30.82
7590,9.71
1550,41.1
3759,16.96
3695,23.26
5682,32.0
6705,14.63
2462,26.25
340,12.36
6899,21.0
6597,8.76
6840,2.26
1830,11.35
2002,7.4
3207,30.82
6036,80.0
8031,15.5
5107,32.0
6948,8.11
7049,11.22
6365,4.3
7586,1.4
8671,4.15
2098,50.0
4340,5.94
7858,6.52
4980,80.0
5800,80.0
7396,11.15
3628,3.6
7163,8.55
7625,8.23
4083,80.0
8491,4.45
3123,36.16
1821,6.85
7602,8.82
1698,50.0
10216,1.3
9658,2.26
7605,11.22
6767,16.27
2958,32.0
288,7.5
8260,1.95
7725,4.3
887,80.0
8330,4.63
8695,12.08
7127,16.44
7805,3.33
2809,7.3
1321,9.5
7764,2.1
9220,2.26
3911,23.0
6277,32.0
7121,4.45
4026,9.14
3591,36.0
6984,3.6
7054,2.44
2503,41.1
6844,12.11
1622,2.15
5623,20.5
5111,32.0
5185,9.5
5923,80.0
4722,6.47
3476,8.17
5507,2.57
6119,20.0
3248,306.88
3493,32.0
6594,8.53
9011,1.95
6323,80.0
7871,1.3
8234,1.99
8049,3.28
457,9.25
6558,32.0
7560,4.52
6398,89.0
5759,6.85
3354,33.4
5850,4.53
6918,10.87
7721,14.38
6061,4.3
2935,4.8
9366,50.0
1305,8.15
5258,32.0
10121,3.81
6957,2.18
8569,11.22
4733,1.25
6321,1.43
7649,8.26
8082,2.33
6305,2.25
6620,7.72
9618,5.36
7746,1.95
7019,13.15
8455,27.5
4979,97.68
3115,94.43
9750,3.75
1334,82.2
6488,2.2
4092,1.25
3159,6.59
5792,4.15
2460,7.12
2318,7.4
1666,32.0
2814,4.67
1583,7.12
2446,11.4
10304,7.72
7780,3.33
3719,4.6
1172,11.8
2152,12.01
6545,8.11
9463,8.55
8568,4.22
2685,89.0
1136,8.15
2798,2.1
4926,1.9
8100,4.32
1298,3.04
5235,30.0
6872,10.52
9044,2.33
6689,5.38
3291,30.82
2827,6.5
3555,2.12
9008,6.42
3883,95.0
9213,4.7
8815,3.21
727,32.0
8065,5.56
2114,16.5
3577,6.0
6527,6.6
8257,2.26
159,183.33
7666,16.73
3204,5.94
9153,4.04
3938,80.0
6777,11.0
7820,8.58
10096,13.15
1587,3.8
4288,6.65
4134,9.98
7559,7.21
121,11.15
8843,3.21
5525,2.02
