,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
3319,60,5273,31321.62,668,4835.39,32.2
1353,60,76000,562400.0,8912,35513.01,1102.3
404,100,1,350.0,3,597.43,0.69
1457,60,32436,243270.0,3203,8258.0,389.23
474,100,7690,76.9,2278,23743.01,0.15
6803,60,18867,46035.48,17125,7317.47,64.54
1889,30,1860,23101.2,3951,13788.25,36.96
3251,60,160,1120.0,43,1082.89,1.85
2729,30,62209,681188.55,5795,63600.4,1335.13
3687,120,9242,323470.0,2373,16173.9,533.73
9264,120,200,4008.0,53,1621.53,4.12
2690,30,5300,18550.0,2922,5616.02,19.07
8434,240,1069,2052.48,396,6036.96,4.43
8547,60,53109,595882.98,19464,13398.06,983.21
7401,60,70000,272300.0,3376,29674.91,279.92
5224,20,58,1856.0,20,644.02,3.06
2444,180,98,1662.08,28,988.24,3.26
1912,90,400,6400.0,48,1260.1,10.24
6083,120,98,10150.19,18,968.25,16.75
5876,90,5291,23386.22,800,5697.64,24.04
8096,240,9400,18988.0,3642,5678.14,31.33
2368,60,155319,1149360.6,28334,80239.66,1838.98
3590,30,1680,33600.0,131,2004.44,47.11
6850,60,31971,232429.17,11111,37242.5,325.87
6023,60,360,2775.6,46,984.39,3.89
1590,60,41948,478207.2,4724,7445.8,937.29
2188,60,21360,83304.0,1567,21821.95,163.28
6659,240,36,493.2,7889,6406.53,1.06
2762,60,56000,133280.0,2996,10612.93,287.35
3247,30,16528,173544.0,3283,5173.14,178.4
6580,60,400,3504.0,70,1764.84,6.87
4633,60,9300,28737.0,550,3054.13,56.32
371,120,1470,60417.0,362,2490.67,118.42
884,100,150,20850.0,113,2486.15,40.87
2830,30,36831,170159.22,17826,20526.23,174.92
8900,60,40080,454908.0,4498,19480.97,891.62
3119,100,470,41830.0,244,7428.38,58.65
7792,30,36007,119903.31,19158,106022.37,148.32
4785,20,520,16640.0,177,3496.34,27.46
1380,60,49385,562989.0,5553,11492.86,1103.46
2743,20,35,1120.0,176,4124.74,1.39
8796,30,61123,658905.94,8281,14311.0,815.07
6247,100,2530,196581.0,575,26849.57,324.36
10002,60,17820,41520.6,955,12606.03,68.51
6186,20,3337,106784.0,1252,5758.84,132.09
6160,240,3652,7304.0,1575,8130.55,7.51
3230,270,40,5037.72,11,1049.3,10.86
6372,180,255,4324.8,72,290.0,7.14
4582,60,10000,172800.0,1087,2531.3,372.56
7079,60,5000,13650.0,861,7383.9,29.43
3211,100,250,22250.0,115,2561.61,27.52
4815,300,1251,38555.82,1254,54424.24,83.13
1061,60,1953,14452.2,283,1673.0,23.12
829,120,1080,88776.0,259,2985.93,174.0
1039,120,5019,206280.9,1092,4761.51,330.05
3039,20,2551,81632.0,885,11057.25,160.0
5681,60,37012,300907.56,4699,17907.7,372.22
3669,100,10,800.0,5,760.22,1.72
10019,240,10070,19636.5,3787,2451.86,32.4
1749,60,1008,2509.92,303,2989.45,4.92
1327,60,1061,3607.4,106,1054.52,5.77
5820,60,11004,94084.2,1073,9535.67,202.85
9445,30,4800,95616.0,532,7441.57,157.77
1090,60,120,182.4,5092,8118.64,0.29
7732,30,19656,71547.84,1679,18028.41,88.5
6810,30,2000,7620.0,4026,15677.98,10.68
3389,60,15021,60084.0,1411,13983.98,61.77
5207,300,520,16026.4,242,5257.72,19.82
8457,60,10076,75872.28,553,9736.1,163.58
4370,120,2245,184539.0,598,5178.47,304.49
3400,60,23063,155675.25,1984,3225.12,192.57
7651,30,30,123.6,55,912.36,0.17
5158,20,500,16000.0,260,9597.9,34.5
7348,60,38976,334414.08,7482,5846.08,413.67
4528,20,597,19104.0,209,3088.04,26.78
5004,100,5983,532487.0,2425,39069.63,658.69
969,20,9325,251775.0,3061,15288.75,493.48
7887,30,3244,43761.56,288,1922.75,44.99
5924,60,27634,58031.4,1616,3147.88,81.36
4970,120,9000,547200.0,2235,5134.12,644.05
1486,180,4077,69186.69,1554,4963.0,110.7
8857,120,11607,219372.3,2653,14056.46,258.2
4339,100,4484,358720.0,1948,21689.39,502.93
7548,30,3000,35250.0,270,6147.18,76.0
8788,30,3300,12474.0,259,1008.9,15.43
9808,60,1960,4272.8,9674,7921.0,5.03
6779,60,3345,26024.1,7095,5530.11,42.94
2719,30,21504,139776.0,1849,4191.83,273.96
5306,90,2440,22692.0,163,1659.21,23.33
8506,30,2661,53007.12,909,5166.39,114.28
2842,60,46530,581159.7,4810,27894.81,814.79
1639,25,6452,129040.0,2334,9343.18,206.46
5942,20,20,640.0,7,498.72,1.06
1745,240,1595,3030.5,598,6338.09,5.94
3841,30,22752,238896.0,3195,5583.11,245.59
2192,30,1166,30607.5,145,1742.25,59.99
4954,100,2884,230720.0,1374,25052.44,380.69
9114,60,17520,171871.2,9370,3855.94,240.96
7543,60,8000,89760.0,1642,15347.04,193.52
8709,30,249965,3239546.4,28182,17650.15,4541.84
4982,20,23,736.0,8,558.46,1.03
7749,60,888,1687.2,119,1896.49,2.09
2012,200,800,1120.0,77,1286.0,2.2
4909,1,23,563.5,21,1327.6,0.79
7581,60,17320,40355.6,1721,8758.37,87.01
9572,240,29504,57532.8,10913,3853.89,94.93
7071,30,1000,5130.0,95,3549.77,11.06
7410,60,29796,194269.92,5862,28812.57,199.71
7385,240,118,171.1,552,7317.96,0.18
2876,30,2894,3617.5,1486,12749.39,5.07
1356,60,123317,912545.8,13253,64506.78,1460.07
6485,100,2933,261037.0,1271,26859.39,365.97
9240,60,100000,811000.0,48109,30202.86,833.71
8660,60,35061,237012.36,2247,8194.09,391.07
6546,300,6490,200021.8,5747,50104.34,235.43
6303,60,20970,222282.0,2447,2673.82,366.77
8179,60,74469,180214.98,4282,8443.89,252.66
2366,30,75000,900750.0,15566,9330.0,1441.2
9492,60,538,753.2,43,888.93,1.24
4899,240,2040,3080.4,820,2214.69,3.81
6158,60,408,5911.92,42,4388.84,9.75
5696,50,30,2982.0,17,660.77,3.07
8384,30,7380,73726.2,1115,7006.47,86.78
6696,60,119098,1336279.56,15808,11969.68,2204.86
2888,60,889,3200.4,94,2350.55,3.96
3261,30,558,8174.7,1297,23760.45,16.02
1634,120,1110,45621.0,222,1603.0,72.99
7848,60,62,341.0,4,660.44,0.35
7143,30,844,5545.08,76,12601.07,9.15
9926,30,10000,117500.0,900,6147.18,253.33
2458,30,2160,56700.0,186,1660.07,111.13
3559,60,5700,36993.0,498,1477.34,38.03
7082,90,854,23485.0,142,9736.1,50.63
7283,60,29220,225578.4,3809,39513.54,279.04
2575,60,270,7433.1,862,9711.2,11.89
7577,60,4301,36773.55,1435,16252.95,60.68
6628,60,11000,29260.0,1070,6153.8,63.08
1262,40,450,34200.0,497,2650.36,54.72
846,20,839,26848.0,277,3146.63,52.62
4562,30,4500,29025.0,320,4890.38,47.89
4940,60,19000,216600.0,1909,9612.49,267.93
2764,20,1900,55100.0,550,8263.16,68.16
7327,30,26112,122726.4,2444,8800.81,151.81
6096,100,2769,246441.0,2355,16816.33,253.34
7710,240,33792,65894.4,12605,72991.45,92.38
8765,60,25000,157500.0,2266,2352.52,194.83
4066,20,369,11808.0,113,1661.01,12.14
1962,270,977,76831.28,490,1765.4,122.93
8986,60,9255,103841.1,1243,6120.6,223.88
5588,30,14016,147168.0,1955,6194.69,151.29
6860,30,17037,56733.21,1750,9758.5,70.18
4879,20,412,13184.0,123,1375.8,16.31
5621,30,345,9522.0,37,946.77,9.79
6431,120,188,44639.99,33,660.3,73.66
2653,60,3190,36366.0,361,7329.83,71.28
9015,30,3428,68285.76,396,1047.17,112.67
9203,30,6120,68238.0,820,4581.26,84.41
4508,30,2000,15160.0,150,1789.85,15.58
9901,30,52000,1035840.0,5701,9736.1,2233.27
317,100,3000,239970.0,861,12770.05,383.95
8536,60,2383,36936.5,882,4516.67,60.95
7419,30,45000,208350.0,4688,32063.3,214.18
6013,120,7145,258363.2,1604,9915.56,557.03
6775,60,69684,542141.52,6798,26205.83,760.08
9311,60,156995,1212001.4,32219,50569.84,1245.94
10218,120,20440,418611.2,5450,23701.58,517.82
5533,100,180,12600.0,42,2863.47,24.7
9350,60,9024,60099.84,976,12369.8,117.8
6257,20,185,5920.0,64,1592.72,7.32
5884,30,8000,144000.0,1045,6949.93,148.03
1125,100,10,720.0,12,785.88,1.15
7829,60,2085,8340.0,699,8127.62,10.32
5875,100,2954,236320.0,1284,125.42,292.33
2236,60,4000,16000.0,305,2698.04,31.36
4386,100,5500,440000.0,2139,19193.57,517.88
8184,60,88403,682471.16,9421,15459.1,956.82
6933,60,440,765.6,27,800.0,0.79
8016,60,38500,105105.0,2695,13457.25,226.61
1779,60,11608,82648.96,1871,11492.86,161.99
8617,240,1004,8534.0,1,3253.88,11.96
3058,120,60,2169.6,36,814.04,4.25
4275,60,990,5445.0,69,694.54,5.6
4609,25,1400,28700.0,468,5372.87,35.5
1363,60,76000,562400.0,8848,37040.86,1102.3
6745,60,20,46.6,1,491.43,0.07
622,60,260,3315.0,56,2246.81,6.5
5366,100,1500,150000.0,714,11293.85,185.55
8310,30,4400,17776.0,11043,39329.03,21.99
7335,30,4403,20694.1,703,4234.12,25.6
7471,30,277,1897.45,54,7445.8,3.72
4498,336,40,3068.8,114,4410.73,6.01
4088,60,96770,263214.4,10536,4957.81,434.3
125,20,220,7040.0,79,1736.18,13.8
6466,60,13168,38450.56,834,3574.24,47.56
6672,60,2316,19801.8,386,2294.85,32.67
1584,60,40000,284800.0,2970,7329.83,558.21
4422,60,612,3635.28,76,1286.68,4.5
5528,720,2500,132000.0,1746,11216.78,185.06
3425,25,10000,200000.0,3334,23030.38,330.0
1758,60,58086,551817.0,8343,9001.03,882.91
5527,100,5000,388500.0,1134,50550.58,837.61
7169,60,73692,608695.92,21879,8647.16,1004.35
9022,240,320,4000.0,122,2053.52,6.6
5346,60,2460,17220.0,173,1312.75,24.14
6891,60,6097,14023.1,12213,7607.2,17.35
1203,60,8824,77298.24,706,3144.57,151.5
4453,3,10,250.0,6,304.76,0.49
1204,60,1216,1824.0,3426,9797.41,3.58
2178,100,2000,159980.0,490,405.97,255.97
8842,60,137,697.33,2014,7726.12,0.72
9206,60,50000,194500.0,2791,10167.54,240.6
6479,30,170,3825.0,22,1051.5,5.36
5966,60,482,2410.0,50,1342.44,2.98
6697,30,2447,15709.74,138,1812.94,25.92
5085,100,2929,234320.0,1214,18875.83,289.85
576,30,2016,27538.56,122,2864.44,44.06
3558,60,17470,128055.1,7765,4835.17,276.09
8024,60,54125,607282.5,7050,6147.18,1309.3
6295,300,435,13406.7,470,4267.13,16.58
9125,60,16971,131016.12,1464,8000.72,183.68
1244,200,165,239.25,15,350.78,0.38
5625,240,10000,92800.0,3853,4228.61,153.12
9967,60,77333,867676.26,11276,43548.0,1431.67
